author	book_name	number	status	type_
浅海微光	悟性逆天：我沉睡万年，创无敌法	89915	连载	东方玄幻
悲风画骨	帝起中洲	936676	连载	异世争霸
暮鼓V晨钟	神州传说！	1570425	连载	东方玄幻
诡话连天	极乐轮回	1551029	连载	异界大陆
微气候	新警世通言	113480	连载	现实题材
漫吧	异世逐妖	8317	连载	洪荒封神
剑花雨	弑天神剑	611933	连载	奇幻修真
驻马店赖春生	寻找遗逝的世界	121310	连载	异术超能
东世一	秋芳缘	183952	连载	校园风云
天地冰花	让心儿静一静	1750659	连载	都市生活
香猪以沫	我和贞子谈恋爱	64174	连载	异术超能
冥雨月华	弹反在世界陨灭之时	52905	连载	异界大陆
小小昊	官气，我的仕途有属性！	144375	连载	都市异能
可乐心声	外卖：海底世界卖鸡爪无敌	2351944	完本	爆笑幽默
可乐心声	外卖：海底世界卖鸡爪无敌	2351944	完本	爆笑幽默
xuxu	我的朋友是兵王	400208	连载	都市生活
朕闻上古	大明：我家娘子长公主	745243	连载	架空历史
水墨天香	与其说瞎话不如	166587	连载	恐怖悬疑
九天炎帝	紫流传说2龙与魔	188804	连载	都市异能
西乡二里	封神天决	2042064	连载	都市激战
恒云潇世	无维者	13574	连载	都市异能
肥宅酒徒	全球觉醒，我进化成了史诗级凶兽	33077	连载	进化变异
金仓	九劫真神齐飞鸿	2011622	连载	异世争霸
世家独一	阴阳界之仇仙	1480418	连载	民间奇谈
李破山	一品布衣	2590508	连载	架空历史
精神队长	带着修为回地球，全家随我飞升了	205195	连载	都市重生
恰灵小道	地府禁忌：从被重金求子开始	631124	连载	民间奇谈
王小兜	玩转大明帝国	2262469	连载	架空历史
心灵之尘	夭折了！我的姐姐是女帝！	353482	连载	架空历史
拳头对拳头	唯争不止	630179	连载	奇幻修真
智慧追寻者	星玉圣师	851685	连载	西方奇幻
萌臣	癫神路	1644127	连载	异界大陆
老汉阿甘	江湖似月牙	401809	连载	古典仙侠
皖南牛二	夺嫡：疯癫王爷竟是绝世全才！	1727732	连载	架空历史
皖南牛二	逍遥小憨婿	3721016	连载	历史穿越
摇醒春梦漏声残	浪逐天下	518704	连载	传统武侠
北齐狂人	月满空桑之妖神篇	540457	连载	东方玄幻
任瑾	金蓄源集团	17711	连载	都市生活
寒门弟子	异世火逆乾坤	474352	连载	东方玄幻
青衣朱雀	新武大宗师	797365	连载	都市异能
咸鱼老白	我的妻子是大乘期大佬	3176059	连载	东方玄幻
海棠花树	重生，红白玫瑰的修罗场	180612	连载	都市重生
不法分子乱入	天罚弟子	10979	连载	异世争霸
星辰昊月	写做人，读作生	446	连载	都市生活
丁凉樱子	温情陌陌龙飞天	280157	连载	领主贵族
锋利的柴刀	猎谍	5636351	连载	谍战特工
都灵城府	难以治愈的黑欲青春	61992	连载	都市生活
孤独的酒馆	江湖饮剑曲	253024	连载	历史武侠
哀枫	跨过俺的尸体	36015	连载	男生同人
戎梦一声	末世：风卷残云	1891	连载	末世危机
天毅子	寻长生而悟道兮天地之始	410086	连载	奇幻修真
十步九歌	朱厚照的大明生活	16858	连载	架空历史
感伤的秋季	洪荒之开局炖了鲲鹏妖师	4642278	连载	洪荒封神
苦苦的寻	让你修武道，没让你斩神明！	67840	连载	东方玄幻
慕风1912	我的俩爸俩妈	49132	连载	都市生活
超圣至尊刘科良	神梦的世界	17821	连载	异界大陆
老吴淞	半生戎马半生仙	122944	连载	架空历史
千仓	永世之花	205347	连载	东方玄幻
普通码农	奇妙快餐店	42423	连载	灵魂转换
和和木木	奇侠仙侣	184872	连载	历史武侠
琴饭饭	飘在天空中的字	233752	连载	未来幻想
十岁未断奶	重游地球	5084	连载	职场励志
城神	早通关了，你才拉我进怪谈	236241	连载	末世危机
普通码农	征战异界，从捡到魔法庄园	4539	连载	游戏异界
水墨金秋	万云录	5055	连载	东方玄幻
窗外雨声响	天地任我行之三：我修鬼仙	226690	连载	东方玄幻
幻梦终时	负天塔之通天长途	130868	连载	异界大陆
流泪的微笑	大明特种小地主	1697196	连载	历史穿越
粉墨筝笆	出不去  回不来	121747	连载	乡村乡土
周墨山	带着军火库到三国	98384	连载	历史穿越
衣见	战国：开局一块地	1066906	连载	历史穿越
谷子的微笑	荒村物语	2147738	连载	东方玄幻
末日童话	拯救另一个我	40737	连载	时空穿梭
不器子	北界邪说	885691	连载	洪荒封神
